id,Roster_Year,Player_Number,First_Name,Last_Name,Year,Position1,Position2,Position3,Height,Weight,Home_Town,State_or_Country,High_School,Alternative_School,College,College_League,Bio_Link
6466,2012,18,Cameron,Omsberg,Senior,Midfielder,,,6'1,,Belgrade,ME,Messalonskee,Messalonskee,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=4029
6467,2012,3,Coleman,O'Neill,Junior,Defender,,,6'2,165,Silver Spring,MD,The Field School,The Field School,Davidson College,A-10,https://davidsonwildcats.com/roster.aspx?rp_id=2705
6468,2012,23,Matt,Pacifici,Sophomore,Goalkeeper,,,6'2,175,Charlotte,NC,Wake Forest,Wake Forest,Davidson College,A-10,https://davidsonwildcats.com/roster.aspx?rp_id=2718
6469,2012,11,Peter,Paras,Senior,Midfielder,,,5'10,161,Dublin,OH,The Columbus Academy,The Columbus Academy,Davidson College,A-10,https://davidsonwildcats.com/roster.aspx?rp_id=2707
6470,2012,1,Daniel,Peek,Junior,Goalkeeper,,,6'2,195,Burke,VA,Robinson Secondary School,Robinson Secondary School,Davidson College,A-10,https://davidsonwildcats.com/roster.aspx?rp_id=2719
6471,2012,18,Chris,Pettiglio,Junior,Forward,,,5'10,162,Westford,MA,Bishop Guertin,Bishop Guertin,Davidson College,A-10,https://davidsonwildcats.com/roster.aspx?rp_id=2708
6476,2012,14,Matt,Shreiner,Sophomore,Midfielder,,,6'0,,Marietta,GA,George Walton High School,George Walton High School,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=4038
6477,2012,9,Ali,Sozeri,Junior,Forward,,,6'1,175,Istanbul,Turkey,Lesley University,Lesley University,Boston University,PATRIOT,https://goterriers.com/roster.aspx?rp_id=3111
6480,2012,15,Brian,Vail,Freshman,Midfielder,,,6'0,,Laguna Beach,CA,St. Margaret's Episcopal School,St. Margaret's Episcopal School,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=4045
6481,2012,1,Patrick,Wall,Junior,Goalkeeper,,,5'11,160,Sugarland,TX,Strake Jesuit College Prep,Strake Jesuit College Prep,University of Notre Dame,ATLANTIC COAST,https://und.com/roster.aspx?rp_id=4905
6482,2012,20,Matt,Weaver,Senior,Back,,,5'11,,Wilmette,IL,New Trier,New Trier,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=4028
6483,2012,13,Kye,West,Freshman,Midfielder,,,5'11,140,Port of Spain,Trinidad & Tobago,Fatima College,Fatima College,Villanova University,BIG EAST,https://villanova.com/roster.aspx?rp_id=2537
6484,2012,5,Ben,Wysocki,Junior,Midfielder,,,5'11,,Lower Makefield,PA,Germantown Academy,Germantown Academy,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=4031
6485,2012,2,Ryan,Bertrando,Freshman,Midfielder,,,5'6,,Lititz,PA,Warwick High School,Warwick High School,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=4040
6488,2012,11,Dilan,Casanovas Mack,Freshman,Forward,,,5'10,,Barcelona,Spain,Loomis Chaffee School,Loomis Chaffee School,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=4043
6491,2012,10,Rylan,Collins,Sophomore,Forward,,,6'1,,Bloomfield,CT,Loomis Chaffee,Loomis Chaffee,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=5795
6492,2012,5,Nick,Corliss,Junior,Defender,,,6'1,193,Auckland,New Zealand,Macleans College,Macleans College,Boston College,ATLANTIC COAST,https://bceagles.com/roster.aspx?rp_id=2847
