ID,ADDRESS1,INSTITUTION,ADDRESS2,CITY,PROVINCE,ZIP,COUNTRY,LATITUDE,LONGITUDE
700010,78 BYWONG ST TOWOONG,QUEENSLAND ACDMY SCI MATH TECH,QUEENSLAND,BRISBANE,QLD,QLD 4066,AUSTRALIA,-27.4868926,152.9787435
700181,PO BOX 3357,SOMERVILLE HOUSE,SOUTH BRISBANE,BRISBANE,QLD,QLD 4101,AUSTRALIA,-27.4838369,153.0253155
700038,OAKLANDS PARADE,ANGLICAN CHURCH GRAMMAR SCHOOL,,EAST BRISBANE,QLD,QLD 4169,AUSTRALIA,-27.4813761,153.0516566
700403,PROSPECT STREET,LOWOOD STATE HIGH SCHOOL,,LOWOOD,QLD,QLD 4311,AUSTRALIA,-27.4679848,152.5830584
700182,GREGORY TERRACE SPRING HILL,BRISBANE GRAMMAR SCHOOL,,BRISBANE,QLD,QLD 4000,AUSTRALIA,-27.45953,153.0186439
700180,GREGORY TERRACE,BRISBANE GIRLS GRAMMAR SCHOOL,,BRISBANE,QLD,QLD 4000,AUSTRALIA,-27.4586866,153.0197274
700017,285 GREGORY TERRACE,SAINT JOSEPHS COLG GREGORY TRC,SPRING HILL,BRISBANE,QLD,QLD 4000,AUSTRALIA,-27.4572472,153.0252437
700642,5 NARRAWA DRIVE,SAMFORD VALLEY STEINER SCHOOL,,WIGHTS MOUNTAIN,QLD,QLD 4520,AUSTRALIA,-27.3923049,152.8590254
700035,185 OLD NORTHERN ROAD,GOOD SHEPHERD CHRISTIAN SCHOOL,ALBANY CREEK,BRISBANE,QLD,QLD 4035,AUSTRALIA,-27.3436938,152.9648156
700005,8-12 BUSINESS DRIVE,SCEE ACCEL CHRISTIAN HOME SCHL,,NARANGBA,QLD,QLD 4504,AUSTRALIA,-27.2018645,153.0092092
700570,MORETON DISTANCE EDUC,AUSTRALIAN CHRISTIAN HOME SCHL,LOCKED BAG 6000,CABOOLTURE BC,QLD,QLD 4510,AUSTRALIA,-27.0585233,152.9527908
700206,PO BOX 480,COOLUM BEACH CHRISTIAN COLLEGE,,COOLUM BEACH,QLD,QLD 4573,AUSTRALIA,-26.5357021,153.0465723
700402,PO BOX 2069,RIVERSIDE CHRISTIAN COLLEGE,,MARYBOROUGH,QLD,QLD 4650,AUSTRALIA,-25.5184134,152.6655026
700161,1315 DAWSON HIGHWAY,FAITH BAPTIST CHRISTIAN SCHOOL,,BURUA,QLD,QLD 4680,AUSTRALIA,-23.9362411,151.2205599
