id,Roster_Year,First_Name,Last_Name,Accolade,College
1495,2007,Mike,Grella,First Team,Duke University
1496,2007,Michael,Videira,First Team,Duke University
1497,2007,Stephen,King,First Team,MD NOT APPLICABLE
1498,2007,Yannick,Reyering,First Team,VA NOT APPLICABLE
1499,2007,Patrick,Nyarko,First Team,VT NOT APPLICABLE
1500,2007,Cody,Arnoux,First Team,Wake Forest University
1501,2007,Sam,Cronin,First Team,Wake Forest University
1502,2007,Brian,Edwards,First Team,Wake Forest University
1503,2007,Pat,Phelan,First Team,Wake Forest University
1504,2007,Chris,Brown,Second Team,Boston College
1505,2007,Sherron,Manswell,Second Team,Boston College
1506,2007,Tim,Jepson,Second Team,Duke University
1507,2007,Omar,Gonzalez,Second Team,MD NOT APPLICABLE
1508,2007,Jeremy,Hall,Second Team,MD NOT APPLICABLE
1509,2007,Andrew,Sherard,Second Team,NC NOT APPLICABLE
1510,2007,El,Hadj Cisse,Second Team,ST NOT APPLICABLE
1511,2007,Jeremy,Barlow,Second Team,VA NOT APPLICABLE
1512,2007,Robert,Edmans,Second Team,VT NOT APPLICABLE
1513,2007,Ben,Nason,Second Team,VT NOT APPLICABLE
1514,2007,Marcus,Tracy,Second Team,Wake Forest University
1515,2007,Shawn,Chin,All-Freshman Team,Boston College
1516,2007,Karl,Reddick,All-Freshman Team,Boston College
1517,2007,Tommy,Drake,All-Freshman Team,CU NOT APPLICABLE
1518,2007,Cole,Grossman,All-Freshman Team,Duke University
1519,2007,Christian,Ibeagha,All-Freshman Team,Duke University
1520,2007,Rodney,Wallace,All-Freshman Team,MD NOT APPLICABLE
1521,2007,Tyler,Deric,All-Freshman Team,NC NOT APPLICABLE
1522,2007,Tyler,Lassiter,All-Freshman Team,ST NOT APPLICABLE
1523,2007,James,Shupp,All-Freshman Team,VT NOT APPLICABLE
1524,2007,Corben,Bone,All-Freshman Team,Wake Forest University
1525,2007,Ike,Opara,All-Freshman Team,Wake Forest University
1526,2008,Alejandro,Bedoya,First Team,Boston College
1527,2008,Chris,Brown,First Team,Boston College
1528,2008,Mike,Grella,First Team,Duke University
1529,2008,Omar,Gonzalez,First Team,MD NOT APPLICABLE
1530,2008,Jeremy,Hall,First Team,MD NOT APPLICABLE
1531,2008,Brian,Shriver,First Team,NC NOT APPLICABLE
1532,2008,Cody,Arnoux,First Team,Wake Forest University
1533,2008,Corben,Bone,First Team,Wake Forest University
1534,2008,Sam,Cronin,First Team,Wake Forest University
1535,2008,Ike,Opara,First Team,Wake Forest University
1536,2008,Marcus,Tracy,First Team,Wake Forest University
1537,2008,Joseph,Bendik,Second Team,CU NOT APPLICABLE
1538,2008,David,Newton,Second Team,CU NOT APPLICABLE
1539,2008,Darrius,Barnes,Second Team,Duke University
1540,2008,A.J.,Delagarza,Second Team,MD NOT APPLICABLE
1541,2008,Rodney,Wallace,Second Team,MD NOT APPLICABLE
1542,2008,Graham,Zusi,Second Team,MD NOT APPLICABLE
1543,2008,Michael,Callahan,Second Team,NC NOT APPLICABLE
1544,2008,Ronnie,Bouemboue,Second Team,ST NOT APPLICABLE
1545,2008,Alan,Sanchez,Second Team,ST NOT APPLICABLE
1546,2008,Tony,Tchani,Second Team,VA NOT APPLICABLE
1547,2008,Michael,Lahoud,Second Team,Wake Forest University
1548,2008,Edvin,Worley,All-Freshman Team,Boston College
1549,2008,Francklin,Blaise,All-Freshman Team,CU NOT APPLICABLE
1550,2008,Kyle,Bethel,All-Freshman Team,Duke University
1551,2008,Matt,Kassel,All-Freshman Team,MD NOT APPLICABLE
1552,2008,Zac,MacMath,All-Freshman Team,MD NOT APPLICABLE
1553,2008,Casey,Townsend,All-Freshman Team,MD NOT APPLICABLE
1554,2008,Sheanon,Williams,All-Freshman Team,NC NOT APPLICABLE
1555,2008,Shawn,Barry,All-Freshman Team,VA NOT APPLICABLE
1556,2008,Brian,Ownby,All-Freshman Team,VA NOT APPLICABLE
1557,2008,Tony,Tchani,All-Freshman Team,VA NOT APPLICABLE
1558,2008,Danny,Wenzel,All-Freshman Team,Wake Forest University
1559,2009,Andrew,Wenger,First Team,Duke University
1560,2009,Jason,Herrick,First Team,MD NOT APPLICABLE
1561,2009,Zac,MacMath,First Team,MD NOT APPLICABLE
1562,2009,Michael,Farfan,First Team,NC NOT APPLICABLE
1563,2009,Zach,Loyd,First Team,NC NOT APPLICABLE
1564,2009,Billy,Schuler,First Team,NC NOT APPLICABLE
1565,2009,Alan,Sanchez,First Team,ST NOT APPLICABLE
1566,2009,Corben,Bone,First Team,Wake Forest University
1567,2009,Austin,da Luz,First Team,Wake Forest University
1568,2009,Ike,Opara,First Team,Wake Forest University
1569,2009,Zack,Schilawski,First Team,Wake Forest University
1570,2009,Justin,Luthy,Second Team,Boston College
1571,2009,Karl,Reddick,Second Team,Boston College
1572,2009,Cole,Grossman,Second Team,Duke University
1573,2009,Kevin,Tangney,Second Team,MD NOT APPLICABLE
1574,2009,Drew,Yates,Second Team,MD NOT APPLICABLE
1575,2009,Cameron,Brown,Second Team,NC NOT APPLICABLE
1576,2009,Ronnie,Boemboue,Second Team,ST NOT APPLICABLE
1577,2009,Neil,Barlow,Second Team,VA NOT APPLICABLE
1578,2009,William,Bates,Second Team,VA NOT APPLICABLE
1579,2009,Ross,LaBauex,Second Team,VA NOT APPLICABLE
1580,2009,Tony,Tchani,Second Team,VA NOT APPLICABLE
1581,2009,Kyle,Bekker,All-Freshman Team,Boston College
1582,2009,Justin,Luthy,All-Freshman Team,Boston College
1583,2009,Charlie,Rugg,All-Freshman Team,Boston College
1584,2009,Ryan,Finley,All-Freshman Team,Duke University
1585,2009,Andrew,Wenger,All-Freshman Team,Duke University
